Country,Operator,Type,Aboard,Fatalities,Ground,Survivors,SurvivalRate,Manufacturer,Year,Clust_ID
Czechoslovakia,Inex Adria Aviopromet,McDonnell Douglas DC-9-32,120,75,0,45,0.375,McDonnell,1975,1
France,Inex Adria Aviopromet (Yugoslavia),McDonnell Douglas MD-81,180,180,0,0,0.0,McDonnell,1981,1
Yugoslavia,Inex Adria Aviopromet / British Airways,McDonnell Douglas DC-9-31 / Trident 3B,176,176,0,0,0.0,McDonnell,1976,1
Germany,Interflug,Ilyushin IL-62MK,113,20,1,93,0.82300885,Ilyushin,1989,0
Germany,Interflug,Ilyushin IL-62,156,156,0,0,0.0,Ilyushin,1972,1
Switzerland,Invicta International Airlines (UK),Vickers Vanguard 952,145,108,0,37,0.255172414,Vickers,1973,1
Iran,Iran Air,Airbus A300B2-203,290,290,0,0,0.0,Airbus,1988,1
Iran,Iran Air Tours,Tupolev TU-154,117,117,0,0,0.0,Tupolev,2002,1
Iran,Iran Air Tours,Tupolev Tu-154M,148,29,0,119,0.804054054,Tupolev,2006,0
Iran,Iran Air Tours  /  Military - Iranian Air Force,Tupolev TU-154M / Sukhoi Su-24,133,133,0,0,0.0,Tupolev,1993,1
Iran,Iran National Airlines,Boeing B-727-86,128,128,0,0,0.0,Boeing,1980,1
Saudi Arabia,Iraqi Airways,Boeing B-737-270C,106,63,0,43,0.405660377,Boeing,1986,1
Kuwait,Iraqi Airways,Ilyushin IL-76,130,130,0,0,0.0,Ilyushin,1990,1
Italy,Itavia,McDonnell Douglas DC-9-15,81,81,0,0,0.0,McDonnell,1980,1
Kyrgyzstan,Itek Air,Boeing B-737-219,90,68,0,22,0.244444444,Boeing,2008,1
United States Of America,Japan Air Lines,McDonnell Douglas DC-8-62,107,0,0,107,1.0,McDonnell,1968,0
Japan,Japan Air Lines,McDonnell Douglas DC-8-61,174,24,0,150,0.862068966,McDonnell,1982,0
Japan,Japan Air Lines,Boeing B-747-SR46,524,520,0,4,0.007633588,Boeing,1985,1
India,Japan Air Lines,McDonnell Douglas DC-8-53,87,82,4,5,0.057471264,McDonnell,1972,1
Russia,Japan Air Lines,McDonnell Douglas DC-8-62,76,62,0,14,0.184210526,McDonnell,1972,1
Ireland,KLM Royal Dutch Airlines,Lockheed 1049H Super Constellation,99,99,0,0,0.0,Lockheed,1958,1
Pakistan,Kam Air,Boeing B-737-200,104,104,0,0,0.0,Boeing,2005,1
Cameroon,Kenya Airways,Boeing B-737-8AL,114,114,0,0,0.0,Boeing,2007,1
Ivory Coast,Kenya Airways,AirbusA310-304,179,169,0,10,0.055865922,AirbusA,2000,1
Russia,Korean Airlines,Boeing B-747-230B,269,269,0,0,0.0,Boeing,1983,1
South Korea,Korean Airlines,Boeing B-747-2B5B,226,15,0,211,0.933628319,Boeing,1980,0
Guam,Korean Airlines,Boeing B-747-300,254,229,0,25,0.098425197,Boeing,1997,1
Libya,Korean Airlines,McDonnell Douglas DC-10-30,199,75,4,124,0.623115578,McDonnell,1989,0
Thailand,Korean Airlines,Boeing B-707-3B5C,115,115,0,0,0.0,Boeing,1987,1
South Korea,Korean Airlines,Airbus A300B4-622R,160,0,0,160,1.0,Airbus,1994,0
Russia,Korean Airlines,Boeing B-707-321B,109,2,0,107,0.981651376,Boeing,1978,0
Cyprus,Kuwait Airways,Boeing B-747-200,112,2,0,110,0.982142857,Boeing,1988,0
Chile,LAN,Douglas DC-6B,87,87,0,0,0.0,Douglas,1965,1
Argentina,"LAPA, Lineas Aereas Privadas Argentinas",Boeing B-737-204C,103,64,10,39,0.378640777,Boeing,1999,1
Poland,LOT Polish Airlines,Ilyushin IL-62,87,87,0,0,0.0,Ilyushin,1980,1
Poland,LOT Polish Airlines,Ilyushin IL-62M,183,183,0,0,0.0,Ilyushin,1987,1
Thailand,Lauda Air,Boeing B-767-3Z9ER,223,223,0,0,0.0,Boeing,1991,1
Egypt,Libya Arab Airlines,Boeing B-727-224,113,110,0,3,0.026548673,Boeing,1973,1
Libya,Libya Arab Airlines / Military -  Libya Air Force,Boeing B-727-2L5 / MiG23UB,157,157,0,0,0.0,Boeing,1992,1
United States Of America,Linea Aeropostal Venezolana,Lockheed 1049E-55 Super Constellation,74,74,0,0,0.0,Lockheed,1956,1
Peru,Lineas Aereas Nacionales SA (Peru),Lockheed 188A Electra,92,91,0,1,0.010869565,Lockheed,1971,1
Peru,Lineas Aereas Nacionales SA (Peru),Lockheed 188A Electra,100,99,2,1,0.01,Lockheed,1970,1
France,Lineas Aereas de Espana/Spantax SA Transportes,MD Douglas DC-9-32/Convair CV-990A,182,68,0,114,0.626373626,MD,1973,0
Indonesia,Lion Air,McDonnell-Douglas MD-82,154,26,0,128,0.831168831,McDonnell,2004,0
Bolivia,Lloyd Aereo Boliviano,Douglas DC-6B,74,74,0,0,0.0,Douglas,1969,1
